"prompt","prompt_token_len","has_code_keyword","has_length_constraint","instruction_verb","ends_with_question","has_format_keyword","clause_count","actual_output_tokens"
"What are the components of a passive crossover?

Context: A passive crossover is an electronic circuit that uses a combination of one or more resistors, inductors and capacitors. These components are combined to form a filter network and are most often placed between the full frequency-range power amplifier and the loudspeaker drivers to divide the amplifier's signal into the necessary frequency bands before being delivered to the individual drivers. Passive crossover circuits need no external power beyond the audio signal itself, but have some disadvantages: they may require larger inductors and capacitors due to power handling requirements. Unlike active crossovers which include a built-in amplifier, passive crossovers have an inherent attenuation within the passband, typically leading to a reduction in damping factor before the voice coil","213","0","0","what","0","0","9","23"
"Please tell me a little bit about the personal lives of the best hockey players at this time.","23","0","0","other","0","0","0","796"
"Should the US government pay reparations?","10","0","0","other","1","0","0","1295"
"Give me a bulleted list of the 5 most recent UK Prime Ministers","15","0","0","list","0","1","0","20"
"Write a conversation between two long-time friends who run into one another five years after they initially drifted apart.","30","0","0","write","0","0","0","472"
"A las vegas seven days trip itinerary including budget and activities for a group of 5 friends.","23","0","0","other","0","0","1","540"
"Write a paragraph about AI governance.","9","0","0","write","0","0","0","1162"
"When was the last financial crisis and what caused it?","13","0","0","what","1","0","1","80"
"what is Stoicism

Context: Stoicism is a school of Hellenistic philosophy founded by Zeno of Citium in Athens in the early 3rd century BCE. It is a philosophy of personal virtue ethics informed by its system of logic and its views on the natural world, asserting that the practice of virtue is both necessary and sufficient to achieve eudaimonia (happiness, lit. 'good spiritedness'): one flourishes by living an ethical life. The Stoics identified the path to eudaimonia with a life spent practicing virtue and living in accordance with nature.

Alongside Aristotelian ethics, the Stoic tradition forms one of the major founding approaches to virtue ethics. The Stoics are especially known for teaching that ""virtue is the only good"" for human beings, and that external things, such as health, wealth, and pleasure, are not good or bad in themselves (adiaphora) but have value as ""material for virtue to act upon"". Many Stoics—such as Seneca and Epictetus—emphasized that because ""virtue is sufficient for happiness"", a sage would be emotionally resilient to misfortune. The Stoics also held that certain destructive emotions resulted from errors of judgment, and they believed people should aim to maintain a will (called prohairesis) that is ""in accordance with nature"". Because of this, the Stoics thought the best indication of an individual's philosophy was not what a person said but how a person behaved. To live a good life, one had to understand the rules of the natural order since they believed everything was rooted in nature.

Stoicism flourished throughout the Roman and Greek world until the 3rd century CE, and among its adherents was Emperor Marcus Aurelius. It experienced a decline after Christianity became the state religion in the 4th century CE. Since then, it has seen revivals, notably in the Renaissance (Neostoicism) and in the contemporary era (modern Stoicism).","472","0","0","what","0","0","28","466"
"What are Uncontacted peoples?

Context: Uncontacted peoples are groups of indigenous peoples living without sustained contact with neighbouring communities and the world community. Groups who decide to remain uncontacted are referred to as indigenous peoples in voluntary isolation. Legal protections make estimating the total number of uncontacted peoples challenging, but estimates from the Inter-American Commission on Human Rights in the UN and the non-profit group Survival International point to between 100 and 200 uncontacted peoples numbering up to 10,000 individuals total. A majority of uncontacted peoples live in South America, particularly northern Brazil, where the Brazilian government and National Geographic estimate between 77 and 84 tribes reside.

Knowledge of uncontacted peoples comes mostly from encounters with neighbouring indigenous communities and aerial footage.","222","0","0","what","0","0","11","1717"
"Categorize each of the following foods based on the five taste sensations (sweet, salty, sour, bitter, and umami).","28","0","0","other","0","0","5","37"
"Write a letter to my mum and dad detailing the reasons why they should buy me a pet tortoise","23","0","0","write","0","0","1","957"
"Describe how you planned a father and son high school senior trip","16","0","0","describe","0","0","1","381"
"What is Venezuela?

Context: Venezuela (/ˌvɛnəˈzweɪlə/; American Spanish: [beneˈswela] (listen)), officially the Bolivarian Republic of Venezuela (Spanish: República Bolivariana de Venezuela), is a country on the northern coast of South America, consisting of a continental landmass and many islands and islets in the Caribbean Sea. It has a territorial extension of 916,445 km2 (353,841 sq mi), and its population was estimated at 29 million in 2022. The capital and largest urban agglomeration is the city of Caracas.","129","0","0","what","0","1","11","1069"
"Give me a list of the dog breeds

Context: This list of dog breeds includes both extant and extinct dog breeds, varieties and types. A research article on dog genomics published in Science/AAAS defines modern dog breeds as ""a recent invention defined by conformation to a physical ideal and purity of lineage"".","77","0","0","list","0","1","4","2205"
"Classify the following as smooth or sharp: broken glass, thorn, leather, baby skin, cactus, mirror","24","0","0","other","0","0","5","23"
"How do I wire an electrical outlet?","8","0","0","how","1","0","0","800"
"here is some text about Grand-Lahou Department, What year did Grand-Lahou become part of Lagunes District?

Context: Grand-Lahou Department was created in 1988 as a first-level subdivision via a split-off from Abidjan Department.

In 1997, regions were introduced as new first-level subdivisions of Ivory Coast; as a result, all departments were converted into second-level subdivisions. Grand-Lahou Department was included in Lagunes Region.

In 2011, districts were introduced as new first-level subdivisions of Ivory Coast. At the same time, regions were reorganised and became second-level subdivisions and all departments were converted into third-level subdivisions. At this time, Grand-Lahou Department became part of Grands-Ponts Region in Lagunes District.","191","0","0","what","0","0","9","2"
"What are five cities in the state of North Carolina?","13","0","0","what","1","0","0","20"
"Why is the indictment of a former President such a divisive topic in the United States?","21","0","0","why","1","0","0","272"
"Are these surfing terms or not? Nutted, pitted, drop in, shwabang, glass, poot, crest","21","0","0","other","0","0","6","16"
"Who is the best men's test cricket player to have come from New Zealand?","18","0","0","other","1","0","0","563"
"What are some of the most accessible jazz albums for someone new to jazz?","18","0","0","what","1","0","0","822"
"What is glass made of","5","0","0","what","0","0","0","839"
"Write a story about somebody, anybody, nobody and everybody","14","0","0","write","0","0","3","247"
"On a backcountry backpacking trip where we expect to cross waterways, categorize each of the following as either 'useful', 'not useful', 'dangerous' or 'neither'.  A chinchilla, a compass, granola, dry bag, seventeen oars, thermite, ten tons of uranium ore","64","0","0","other","0","0","9","72"
"What are some vacation ideas this summer?","10","0","0","what","1","0","0","71"
"Is it possible to live life without having to use a door?","14","0","0","other","1","0","0","226"
"Who is Hugo Chavez?

Context: Hugo Rafael Chávez Frías (Spanish pronunciation: [ˈuɣo rafaˈel ˈtʃaβes ˈfɾi.as] (listen); 28 July 1954 – 5 March 2013) was a Venezuelan politician who was president of Venezuela from 1999 until his death in 2013, except for a brief period in 2002. Chávez was also leader of the Fifth Republic Movement political party from its foundation in 1997 until 2007, when it merged with several other parties to form the United Socialist Party of Venezuela (PSUV), which he led until 2012.","127","0","0","other","0","1","4","1048"
"When is Tax Day not on April 15?","8","0","0","other","1","0","0","45"
"Give me a bulleted list of the five most recent Italian prime ministers.","18","0","0","list","0","1","0","20"
"Is it better to buy a used car compared to a new car?","13","0","0","other","1","0","0","995"
"Why are Christmas markets so popular in Germany?","12","0","0","why","1","0","0","120"
"Is it better to invest in the stock market or to keep money in a savings account?","20","0","0","other","1","0","0","268"
"Who are Torvill and Dean?

Context: Torvill and Dean (Jayne Torvill and Christopher Dean) are English ice dancers and former British, European, Olympic, and World champions. At the Sarajevo 1984 Winter Olympics the pair won gold and became the highest-scoring figure skaters of all time for a single programme, receiving twelve perfect 6.0s and four 5.9s which included artistic impression scores of 6.0 from every judge, after skating to Maurice Ravel's Boléro. One of the most-watched television events ever in the United Kingdom, their 1984 Olympics performance was watched by a British television audience of more than 24 million people.The couple went on to record an even higher score at the 1984 World Championships, thirteen 6.0s and five 5.9s.","188","0","0","other","0","0","15","518"
"what to ask when interviewing doulas?","9","0","0","what","1","0","0","238"
"Will robots ever feel and think like humans? Will these robots solve all of our problems, or will they spell the end of the human race?","33","0","0","other","1","0","2","777"
"What are the different types of art?","9","0","0","what","1","0","0","626"
"How do you cook ribs?","5","0","0","how","1","0","0","269"
"What makes Destiny 2 a popular game?","9","0","0","what","1","0","0","636"
"What are some typical attributes of a tortoiseshell cat?","14","0","0","what","1","0","0","66"
"What is Emotional Quotient (EQ)/Emotional Intelligence, and why is it a critical trait for leaders to possess?","27","0","0","what","1","0","2","290"
"Write do's and don'ts for handling a PR crisis. Make them directive and easy for anyone to understand and follow.","28","0","0","write","0","0","3","358"
"Who is the greatest artist of all time?","9","0","0","other","1","0","0","582"
"What's the significance of the lighthouse in Virginia Woolf's ""In The Lighthouse?""","20","0","0","what","0","0","0","270"
"Write a beautiful bedtime 5 paragraph story for a 4 years old. The outline of the story is: a small boy, named Jonny goes on an adventure with his family.","38","0","0","write","0","1","1","249"
"Who is John Quincy Adams?

Context: John Quincy Adams (/ˈkwɪnzi/ (listen); July 11, 1767 – February 23, 1848) was an American politician, diplomat, lawyer, and diarist who served as the sixth president of the United States, from 1825 to 1829. He previously served as the eighth United States Secretary of State from 1817 to 1825. During his long diplomatic and political career, Adams also served as an ambassador, and as a member of the United States Congress representing Massachusetts in both chambers. He was the eldest son of John Adams, who served as the second president of the United States from 1797 to 1801, and First Lady Abigail Adams. Initially a Federalist like his father, he won election to the presidency as a member of the Democratic-Republican Party, and in the mid-1830s became affiliated with the Whig Party.","207","0","0","other","0","1","18","1132"
"Name the BRICS nations.","5","0","0","other","0","0","0","9"
"What is the nuclear magnetic resonance spectroscopy of proteins?","16","0","0","what","1","0","0","812"
"What are the best National Parks in the United States","13","0","0","what","0","0","0","41"
"Name some famous Sci-Fi books","7","0","0","other","0","0","0","41"
"Wthat is the difference between Speed and Velocity ?","13","0","0","other","1","0","1","205"
"What are the top 5 rock bands of all time?","10","0","0","what","1","0","0","145"
"How do I cast on a knitting project?","9","0","0","how","1","0","0","300"
"Please write a story that puts a modern twist on a fairy tale","15","0","0","write","0","0","0","1201"
"What is a bank run?","4","0","0","what","1","0","0","202"
"Best way to buy a new or used car?","8","0","0","other","1","0","0","205"
"How do you increase your output on a Peloton ride?","12","0","0","how","1","0","0","396"
"Sea or Mountain","3","0","0","other","0","0","0","32"
"Write a short story about a botanist who discovers a part of a forest where plants are communicating with each other.","29","0","0","write","0","0","0","439"
"road trip to Kerala from Bangalore.","8","0","0","other","0","0","0","237"
"What is the Canada's national sport?","9","0","0","what","1","0","0","61"
"What are the key steps for building a an in ground pool?","14","0","0","what","1","0","0","884"
"What is the difference between the right and left side of the brain?

Context: The lateralization of brain function is the tendency for some neural functions or cognitive processes to be specialized to one side of the brain or the other. The median longitudinal fissure separates the human brain into two distinct cerebral hemispheres, connected by the corpus callosum. Although the macrostructure of the two hemispheres appears to be almost identical, different composition of neuronal networks allows for specialized function that is different in each hemisphere.","141","1","0","what","0","1","3","2208"
"How do Nietzsche and Haraway critique the concept of scientific knowledge and its pursuit of objectivity? How do they use the ideas of ""the god-trick"" and ""pride"" to explain the faults in scientific discoveries?","52","0","0","explain","1","0","3","1269"
"Who is the greatest basketball player of all time?","12","0","0","other","1","0","0","607"
"What is geostatistics?","5","0","0","what","1","0","0","201"
"Brainstorm what is the best virtual cycling platform ?","13","0","0","what","1","0","0","532"
"What teams were a part of the 2021 Valletta Cup?

Context: The 2021 Valletta Cup was a Twenty20 International (T20I) cricket tournament held in Malta between 21 and 24 October 2021. It was the second edition of the Valletta Cup. The matches were played at the Marsa Sports Club in Marsa. The participating teams were the hosts Malta along with Bulgaria, Gibraltar and Switzerland.

This was the first international tournament for Switzerland since the introduction of global T20I status in January 2019, and their re-admittance to the International Cricket Council (ICC) in July 2021. Cricket Switzerland (previously known as the Swiss Cricket Association), had been suspended by the ICC in 2012 due to non-compliance following the formation of a second organization also claiming to oversee cricket in the country. They were one of three nations to gain Associate membership after the ICC's annual general meeting in July 2021.

Switzerland finished on top of the round-robin stage with three wins. Malta defeated Switzerland in the final, after Bulgaria defeated Gibraltar in the third-place playoff. After the tournament, Malta and Gibraltar played a rain-affected two-match bilateral T20I series that was shared after one game was lost to the weather and the other finished as a DLS method tie.","324","0","0","what","0","1","10","24"
"What is ""the Scully effect?""","7","0","0","what","0","0","0","64"
"Classify each of the following as water-soluble vitamins and fat-soluble vitamins and which food come under them?","28","0","0","other","1","0","2","872"
"What is the concept of a good life according to Socrates and Aristotle, and what are the components that contribute to it? Is a good life innate or learned, and can anyone achieve it?","45","0","0","what","1","0","5","2449"
"What is the plot of the movie John Wick?","10","0","0","what","1","0","0","908"
"When is the best time of year to visit Seattle?","11","0","0","other","1","0","0","108"
"What is the best modern motorcycle for a beginning rider?","14","0","0","what","1","0","0","2220"
"Give me a list of the top 5 Colleen Hoover books","12","0","0","list","0","1","0","18"
"Write a short story about how a man named Larry Joe proposed to his girlfriend, known as The President. The proposal should take place in an unusual manner, among friends.","42","0","0","write","0","0","2","828"
"Who where the San Diego Stingrays","8","0","0","other","0","0","0","245"
"how do you decide which job to take?","9","0","0","how","1","0","0","115"
"How would you build me a plane out of duct tape? You can leverage other materials, but the exterior of both the fuselage and the wings must be duct tape.","38","0","0","how","0","0","3","383"
"Give me a simpler way to tell someone that Layli and Majnun is Persian literature that borrows storytelling techniques from Varqeh and Golshah, Orwa wa Afra, Vameq and Ozra, Metiochus and Parthenope, and Vis and Ramin.","54","0","0","other","0","0","10","48"
"What is the list of football clubs in England by competitive honours won?","18","0","0","list","1","1","0","1143"
"Why is the band Phish so popular?","8","0","0","why","1","0","0","339"
"What is pleitropy?","4","0","0","what","1","0","0","430"
"Is art useless?","3","0","0","other","1","0","0","246"
"Explain how ""work from home"" has an opportunity cost. Provide anecdotes to support your points.","23","0","0","explain","0","0","0","2041"
"Why is Citizen Kane considered the Best Film?","11","0","0","why","1","0","0","646"
"What is the number one selling dog?","8","0","0","what","1","0","0","49"
"My wife and I have two kids: one boy, age 4, and one girl, age 1. We are thinking of buying a pet. What are some good pet options for our family of four? Please include some advantages and disadvantages for each option.","54","0","0","what","0","0","6","911"
"How many U.S. President were lawyers?","9","0","0","how","1","0","0","1196"
"Classify the following celebrities as sports or acting personalities or both : Arnold Schwarzenegger, Brad Pitt, Kevin Durant, Shohei Ohtani, Harrison Ford, Dwayne Johnson, Jason Statham, Stephen Curry, Robin Williams, Scarlett Johansson, Tom Brady, Patrick Mahomes","66","0","0","other","0","0","11","218"
"Explain how new technologies, like LLMs and ChatGPT, may revolutionize Application Programming Interfaces (APIs) in the future. Provide an example of how these APIs might work.","44","0","0","explain","0","0","3","1103"
"Which is a species of fish? Silver hake or Silverback","13","0","0","other","0","0","0","2"
"Identify which instrument is string or percussion: Maddale, Banhu","16","0","0","other","0","0","1","9"
"Who were the Beatles?

Context: The Beatles were an English rock band, formed in Liverpool in 1960, that comprised John Lennon, Paul McCartney, George Harrison and Ringo Starr. They are regarded as the most influential band of all time and were integral to the development of 1960s counterculture and popular music's recognition as an art form. Rooted in skiffle, beat and 1950s rock 'n' roll, their sound incorporated elements of classical music and traditional pop in innovative ways; the band also explored music styles ranging from folk and Indian music to psychedelia and hard rock. As pioneers in recording, songwriting and artistic presentation, the Beatles revolutionised many aspects of the music industry and were often publicised as leaders of the era's youth and sociocultural movements.","199","0","0","other","0","0","19","812"
"Who won the best new artist as well as award for the Best Pop Vocal Album in 64th Annual Grammy Awards","25","0","0","other","0","0","0","3"
"What is the best way to live life","8","0","0","what","0","0","0","12"
"Who is RFK?

Context: Robert Francis Kennedy (November 20, 1925 – June 6, 1968), also known by his initials RFK and by the nickname Bobby, was an American politician and lawyer. He served as the 64th United States Attorney General from January 1961 to September 1964 and as a U.S. senator from New York from January 1965 until his assassination. Like his brothers John F. Kennedy and Ted Kennedy, he was a prominent member of the Democratic Party and is viewed by some historians as an icon of modern American liberalism.","130","0","0","other","0","0","10","851"
"Write a short story about a little girl that saves her neighbors home from a bee infestation.","23","0","0","write","0","0","0","1987"
"What are some examples of frequently purchased essential oils?","15","0","0","what","1","0","0","36"
"What is Hispania

Context: Hispania (Latin: Hispānia [hɪsˈpaːnia], Spanish: [isˈpanja]; nearly identically pronounced in Spanish, Portuguese, Catalan, and Italian) was the Roman name for the Iberian Peninsula and its provinces. Under the Roman Republic, Hispania was divided into two provinces: Hispania Citerior and Hispania Ulterior. During the Principate, Hispania Ulterior was divided into two new provinces, Baetica and Lusitania, while Hispania Citerior was renamed Hispania Tarraconensis. Subsequently, the western part of Tarraconensis was split off, first as Hispania Nova, later renamed ""Callaecia"" (or Gallaecia, whence modern Galicia). From Diocletian's Tetrarchy (AD 293) onwards, the south of the remainder of Tarraconensis was again split off as Carthaginensis, and all of the mainland Hispanic provinces, along with the Balearic Islands and the North African province of Mauretania Tingitana, were later grouped into a civil diocese headed by a vicarius. The name Hispania was also used in the period of Visigothic rule.

The modern place names Spain and Hispaniola are both derived from Hispania.","278","0","0","what","0","0","24","272"
"List some of the greatest leadership and business books ever written.","17","0","0","list","0","1","1","326"
"What are the names of the songs from The Story of June which don't have Chinese names?

Context: The Story of June is a Cantopop album by Edmond Leung.

Track listing:
Love Blind (戀愛盲)
Elevator Men (電梯男)
Hey June
Driven To Distraction (失魂落魄)
Daydream (白日夢)
Romantic (羅曼蒂克)
Y3
Get Away with Miriam Yeung (滾)
The Aftermath (戰後餘生)
The Long Journey (路漫漫)","87","0","0","what","0","1","0","2"
"What is a digital twin?","5","0","0","what","1","0","0","208"
"Who is TIME

Context: Li ""Oliveira"" Peinan (born June 28, 2000) is a Chinese Terran player who is currently playing for DKZ Gaming.

He is formerly known as ""TIME"".","41","0","0","other","0","0","1","947"
"Why did Rome have so many bad emperors?","9","0","0","why","1","0","0","309"
"Why should you get out of your comfort zone?","11","0","0","why","1","0","0","202"
"What should I look for when looking for a used car?","12","0","0","what","1","0","0","1981"
"Write an essay about whether corona policy measures are beneficial towards society or not","22","0","0","write","0","0","0","1885"
"Monster Hunter 4 Unlimited (hereafter, ""MH4U"") was a video game released exclusively for the Nintendo 3DS circa 2013. Elden Ring was a video game released for multiple platforms in circa 2022 to critical acclaim. 

If MH4U and Elden Ring were considered to be siblings nine years apart in a small family, how might the experiences of MH4U have influenced the growth and development of Elden Ring?","99","0","0","how","1","0","4","958"
"What is the capital of the united kingdom?","10","0","0","what","1","0","0","11"
"Give me a suggestion where I should go for spring break if I live in the United States.","21","0","0","other","0","0","0","243"
"How did Legos get their name?","7","0","0","how","1","0","0","25"
"Classify these foods as vegan, vegetarian or neither: frittata, yogurt, apple, lard, chicken noodle soup, tofu, flour, cheesecake","32","0","0","other","0","0","8","37"
"What are 5 unique recipes for any kind of potatoes?","12","0","0","what","1","0","0","1543"
"Who is FDR?

Context: Franklin Delano Roosevelt (/ˈdɛlənoʊ ˈroʊzəvɛlt, -vəlt/ DEL-ə-noh ROH-zə-velt, -⁠vəlt; January 30, 1882 – April 12, 1945), commonly known as FDR, was an American statesman and political leader who served as the 32nd president of the United States from 1933 until his death in 1945. He previously served as the 44th governor of New York from 1929 to 1933, the Assistant Secretary of the Navy from 1913 to 1920, and a member of the New York State Senate from 1911 to 1913.","123","0","0","other","0","0","11","898"
"What is HiFI?

Context: High fidelity (often shortened to Hi-Fi or HiFi) is the high-quality reproduction of sound. It is popular with audiophiles and home audio enthusiasts. Ideally, high-fidelity equipment has inaudible noise and distortion, and a flat (neutral, uncolored) frequency response within the human hearing range.

High fidelity contrasts with the lower-quality “lo-fi” sound produced by inexpensive audio equipment, AM radio, or the inferior quality of sound reproduction that can be heard in recordings made until the late 1940s.","136","0","0","what","0","0","8","2184"
"Name some famous songs by the Beatles","9","0","0","other","0","0","0","30"
"Can you provide a summary of who Harvey Marion LaFollette was?

Context: Harvey Marion LaFollette (September 8, 1858 – September 20, 1929) was an American teacher and educator, who as a young man, served two terms as Indiana Superintendent of Public Instruction. He then moved to Tennessee, where he established the town of LaFollette. His company, LaFollette Coal, Iron, and Railway Company, eventually employed more than 1500 people and was the largest blast furnace in the Southern United States.","124","0","0","other","0","0","12","1152"
"Write a story with the theme ""Be wise when you speak.""","13","0","0","write","0","0","0","213"
"Given this paragraph, how much control of the world's cocaine market did the Cali Cartel have at its peak?

Context: The Cali Cartel (Spanish: Cartel de Cali) was a drug cartel based in southern Colombia, around the city of Cali and the Valle del Cauca. Its founders were the brothers Gilberto Rodríguez Orejuela, Miguel Rodríguez Orejuela and José Santacruz Londoño. They broke away from Pablo Escobar and his Medellín associates in 1987, when Hélmer ""Pacho"" Herrera joined what became a four-man executive board that ran the cartel.

At the height of the Cali Cartel's reign from 1993 to 1995, they were cited as having control of over 80% of the world's cocaine market and were said to be directly responsible for the growth of the cocaine market in Europe, controlling 80% of the market there as well. By the mid-1990s, the leaders of the Cali Cartel's multibillion-dollar international drug trafficking empire were operating a US$20 billion a year global criminal empire.","244","0","0","what","0","0","11","25"
"Please give me a list of qualities that make the Masters is golf's top tournament unique?

Context: The Masters is the first major championship of the year. Since 1948, its final round has been scheduled for the second Sunday of April, with several exceptions.

The Masters has the smallest field of the four golf major championships.

The Masters is an invitation only tournament.

Previous Champions are eligible to play for life.","108","0","0","list","0","1","2","1025"
"Why do humans play sports?","6","0","0","why","1","0","0","65"
"write short essay on Neil Armstrong experience on moon","13","0","0","write","0","0","0","297"
"Give me a short summary of the movie Gladiator.

Context: Gladiator is a 2000 epic historical drama film directed by Ridley Scott and written by David Franzoni, John Logan, and William Nicholson.  It stars Russell Crowe, Joaquin Phoenix, Connie Nielsen, Ralf Möller, Oliver Reed (in his final role), Djimon Hounsou, Derek Jacobi, John Shrapnel, Richard Harris, and Tommy Flanagan. Crowe portrays Roman general Maximus Decimus Meridius, who is betrayed when Commodus, the ambitious son of Emperor Marcus Aurelius, murders his father and seizes the throne. Reduced to slavery, Maximus becomes a gladiator and rises through the ranks of the arena to avenge the murders of his family and his emperor.","174","0","0","other","0","0","21","961"
"Why is Utah a top destination for skiing","10","0","0","why","0","0","0","130"
"What was the Great Depression?","7","0","0","what","1","0","0","256"
"Extract the sources of electricity mentioned in the text and the percentage of electricity that comes from that source in Canada and list them using bullets in the format {Source} - {Percentage}

Context: Forgiven,X-Men,Generation X,X-Corps,New Warriors,Patsy Walker Temp Agency","69","0","0","list","0","1","7","461"
"Why did you take so long to get home last night?","12","0","0","why","1","0","0","229"
"What is the sport called Cricket","8","0","0","what","0","0","0","949"
"Write a letter to Dear Abby on relationship advice.","12","0","0","write","0","0","0","155"
"Classify each of the following as either a title by Isaac Asimov or Jules Verne: Pebble in the Sky, The Stars, Like Dust, Foundation, The Robots of Dawn, The Naked Sun, Around the World in Eighty Days, From the Earth to the Moon, Martin Paz, Journey to the Centre of the Earth, A Drama in the Air","74","0","0","other","0","0","10","60"
"Is the lacavore diet beneficial?","8","0","0","other","1","0","0","897"
"Tell me why your dog likes dog daycare.","9","0","0","why","0","0","0","299"
"Based on the paragraph about the Korean War, what is the name of the new sovereign state created in the north?

Context: In 1910, Imperial Japan annexed Korea, where it ruled for 35 years until its surrender at the end of World War II on 15 August 1945. The United States and the Soviet Union divided Korea along the 38th parallel into two zones of occupation. The Soviets administered the northern zone and the Americans administered the southern zone. In 1948, as a result of Cold War tensions, the occupation zones became two sovereign states. A socialist state, the Democratic People's Republic of Korea, was established in the north under the totalitarian communist leadership of Kim Il-sung, while a capitalist state, the Republic of Korea, was established in the south under the autocratic leadership of Syngman Rhee. Both governments of the two new Korean states claimed to be the sole legitimate government of all of Korea, and neither accepted the border as permanent.","244","0","0","what","0","1","14","9"
"What is the best way to get faster at running long distances?","15","0","0","what","1","0","0","60"
"What is genome analysis?","6","0","0","what","1","0","0","1038"
"Name all of the NBA Championship teams in history.","12","0","0","other","0","0","0","1824"
"Give me a summary of 1812 war

Context: The War of 1812 (18 June 1812 – 17 February 1815) was fought by the United States of America and its indigenous allies against the United Kingdom and its allies in British North America, with limited participation by Spain in Florida. Tensions originated in long-standing differences over territorial expansion in North America and British support for Native American tribes who opposed U.S. colonial settlement in the Northwest Territory.","119","0","0","other","0","0","4","813"
"Name some famous actors from the 1930's","9","0","0","other","0","0","0","59"
